Date,Price Target
Apr-22-2024,5.26
Apr-23-2024,5.26
Apr-24-2024,5.26
Apr-26-2024,5.26
Apr-29-2024,5.21
Apr-30-2024,5.21
May-01-2024,5.21
May-02-2024,5.21
May-03-2024,5.21
May-06-2024,5.19
May-07-2024,5.19
May-08-2024,5.19
May-09-2024,5.19
May-10-2024,5.19
May-13-2024,5.19
May-14-2024,5.19
May-15-2024,5.19
May-16-2024,5.19
May-17-2024,5.19
May-20-2024,5.19
May-21-2024,5.16
May-22-2024,5.16
May-23-2024,5.16
May-24-2024,5.16
May-27-2024,5.16
May-28-2024,5.16
May-29-2024,5.16
May-30-2024,5.16
May-31-2024,5.16
Jun-03-2024,5.16
Jun-04-2024,5.16
Jun-05-2024,5.16
Jun-06-2024,5.16
Jun-07-2024,5.16
Jun-11-2024,5.16
Jun-12-2024,5.16
Jun-13-2024,5.16
Jun-14-2024,5.16
Jun-17-2024,5.16
Jun-18-2024,5.16
Jun-19-2024,5.16
Jun-20-2024,5.16
Jun-21-2024,5.16
Jun-24-2024,5.16
Jun-25-2024,5.16
Jun-26-2024,5.16
Jun-27-2024,5.16
Jun-28-2024,5.16
Jul-01-2024,5.16
Jul-02-2024,5.16
Jul-03-2024,5.16
Jul-04-2024,5.16
Jul-05-2024,5.16
Jul-08-2024,5.16
Jul-09-2024,5.16
Jul-10-2024,5.16
Jul-11-2024,5.16
Jul-12-2024,5.16
Jul-15-2024,5.15
Jul-16-2024,5.15
Jul-17-2024,5.15
Jul-18-2024,5.14
Jul-19-2024,5.14
Jul-22-2024,5.14
Jul-23-2024,5.14
Jul-24-2024,5.14
Jul-25-2024,5.14
Jul-26-2024,5.14
Jul-29-2024,5.14
Jul-30-2024,5.14
Jul-31-2024,5.10
Aug-01-2024,5.10
Aug-02-2024,5.10
Aug-05-2024,5.11
Aug-06-2024,5.11
Aug-07-2024,5.11
Aug-08-2024,5.11
Aug-09-2024,5.11
Aug-12-2024,5.11
Aug-13-2024,5.11
Aug-14-2024,5.11
Aug-15-2024,5.11
Aug-16-2024,5.11
Aug-19-2024,5.11
Aug-20-2024,5.11
Aug-21-2024,5.11
Aug-22-2024,5.11
Aug-23-2024,5.11
Aug-26-2024,5.10
Aug-27-2024,5.10
Aug-28-2024,5.10
Aug-29-2024,5.10
Aug-30-2024,5.16
Sep-02-2024,5.23
Sep-03-2024,5.23
Sep-04-2024,5.23
Sep-05-2024,5.25
Sep-06-2024,5.25
Sep-09-2024,5.26
Sep-10-2024,5.26
Sep-11-2024,5.26
Sep-12-2024,5.25
Sep-13-2024,5.24
Sep-16-2024,5.24
Sep-17-2024,5.24
Sep-18-2024,5.22
Sep-19-2024,5.22
Sep-20-2024,5.22
Sep-23-2024,5.22
Sep-24-2024,5.22
Sep-25-2024,5.22
Sep-26-2024,5.22
Sep-27-2024,5.22
Sep-30-2024,5.22
Oct-01-2024,5.22
Oct-02-2024,5.22
Oct-03-2024,5.22
Oct-04-2024,5.22
Oct-07-2024,5.22
Oct-08-2024,5.22
Oct-09-2024,5.22
Oct-10-2024,5.22
Oct-11-2024,5.22
Oct-14-2024,5.17
Oct-15-2024,5.14
Oct-16-2024,5.17
Oct-17-2024,5.17
Oct-18-2024,5.17
Oct-21-2024,5.17
Oct-22-2024,5.17
Oct-23-2024,5.17
Oct-24-2024,5.17
Oct-25-2024,5.17
Oct-28-2024,5.17
Oct-29-2024,5.17
Oct-30-2024,5.17
Oct-31-2024,5.17
Nov-01-2024,5.17
Nov-04-2024,5.17
Nov-05-2024,5.17
Nov-06-2024,5.17
Nov-07-2024,5.17
Nov-08-2024,5.17
Nov-11-2024,5.17
Nov-12-2024,5.17
Nov-13-2024,5.17
Nov-14-2024,5.17
Nov-15-2024,5.17
Nov-18-2024,5.17
Nov-19-2024,5.17
Nov-20-2024,5.17
Nov-21-2024,5.17
Nov-22-2024,5.17
Nov-25-2024,5.17
Nov-26-2024,5.17
Nov-27-2024,5.17
Nov-28-2024,5.17
Nov-29-2024,5.17
Dec-02-2024,5.17
Dec-03-2024,5.17
Dec-04-2024,5.17
Dec-05-2024,5.17
Dec-06-2024,5.17
Dec-09-2024,5.17
Dec-10-2024,5.17
Dec-11-2024,5.17
Dec-12-2024,5.17
Dec-13-2024,5.17
Dec-16-2024,5.15
Dec-17-2024,5.15
Dec-18-2024,5.15
Dec-19-2024,5.15
Dec-20-2024,5.15
Dec-23-2024,5.15
Dec-24-2024,5.15
Dec-27-2024,5.15
Dec-30-2024,5.15
Dec-31-2024,5.15
Jan-02-2025,5.15
Jan-03-2025,5.15
Jan-06-2025,5.15
Jan-07-2025,5.15
Jan-08-2025,5.15
Jan-09-2025,5.15
Jan-10-2025,5.15
Jan-13-2025,5.15
Jan-14-2025,5.15
Jan-15-2025,5.15
Jan-16-2025,5.15
Jan-17-2025,5.15
Jan-20-2025,5.15
Jan-21-2025,5.15
Jan-22-2025,5.15
Jan-23-2025,5.15
Jan-24-2025,5.15
Jan-28-2025,5.15
Jan-29-2025,5.09
Jan-30-2025,5.09
Jan-31-2025,5.09
Feb-03-2025,5.09
Feb-04-2025,5.09
Feb-05-2025,5.09
Feb-06-2025,5.09
Feb-07-2025,5.09
Feb-10-2025,5.09
Feb-11-2025,5.09
Feb-12-2025,5.09
Feb-13-2025,5.09
Feb-14-2025,5.09
Feb-17-2025,5.09
Feb-18-2025,5.09
Feb-19-2025,5.09
Feb-20-2025,5.09
Feb-21-2025,5.09
Feb-24-2025,5.09
Feb-25-2025,5.09
Feb-26-2025,5.09
Feb-27-2025,5.09
Feb-28-2025,5.08
Mar-03-2025,5.10
Mar-04-2025,5.10
Mar-05-2025,5.10
Mar-06-2025,5.10
Mar-07-2025,5.10
Mar-10-2025,5.10
Mar-11-2025,5.10
Mar-12-2025,5.09
Mar-13-2025,5.09
Mar-14-2025,5.09
Mar-17-2025,5.09
Mar-18-2025,5.09
Mar-19-2025,5.09
Mar-20-2025,5.09
Mar-21-2025,5.09
Mar-24-2025,5.09
Mar-25-2025,5.09
Mar-26-2025,5.09
Mar-27-2025,5.09
Mar-28-2025,5.09
Mar-31-2025,5.11
Apr-01-2025,5.11
Apr-02-2025,5.11
Apr-03-2025,5.11
Apr-04-2025,5.11
Apr-07-2025,5.11
Apr-08-2025,5.11
Apr-09-2025,5.11
Apr-10-2025,5.11
Apr-11-2025,5.11
Apr-14-2025,5.11
Apr-15-2025,5.11
Apr-16-2025,5.11
Apr-17-2025,5.11
